POLLING PLACE LOCATION,POLLING PLACE ADDRESS,BLDG,PARK,ZIP,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,,,City,State,County,Zip,Country,Source
CITY LIFE CHURCH (CALVARY TEMPLE),3301 S 20TH ST,M,L,19145,39.910012,-75.181738,1,rooftop,3301,S 20th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
CITY LIFE CHURCH (CALVARY TEMPLE),3301 S 20TH ST,M,L,19145,39.910012,-75.181738,1,rooftop,3301,S 20th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
CITY LIFE CHURCH (CALVARY TEMPLE),3301 S 20TH ST,M,L,19145,39.910012,-75.181738,1,rooftop,3301,S 20th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
MARCONI PLAZA BOCCE COURTS,2800 S BROAD ST,M,N,19145,39.916606,-75.171422,1,range_interpolation,2800,S Broad St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
BARRY RECREATION CENTER,1800 BIGLER ST,F,N,19145,39.915203,-75.178268,1,range_interpolation,1800,Bigler St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
BARRY RECREATION CENTER,1800 BIGLER ST,F,N,19145,39.915203,-75.178268,1,range_interpolation,1800,Bigler St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
CARING PEOPLE ALLIANCE,2433 S 15TH ST,R,L,19145,39.919848,-75.172118,1,rooftop,2433,S 15th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
GUERIN RECREATION CENTER-BOCCE BLDG,2201 S 16TH ST,M,N,19145,39.922877,-75.172914,1,rooftop,2201,S 16th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
BARRY RECREATION CENTER,1800 BIGLER ST,F,N,19145,39.915203,-75.178268,1,range_interpolation,1800,Bigler St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
GUERIN RECREATION CENTER-BOCCE BLDG,2201 S 16TH ST,M,N,19145,39.922877,-75.172914,1,rooftop,2201,S 16th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
CARING PEOPLE ALLIANCE,2433 S 15TH ST,R,L,19145,39.919848,-75.172118,1,rooftop,2433,S 15th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
GUERIN RECREATION CENTER,2201 S 16TH ST,M,N,19145,39.922877,-75.172914,1,rooftop,2201,S 16th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
G.A.M.P. SCHOOL,2136 W RITNER ST,A,N,19145,39.922046,-75.182439,1,range_interpolation,2136,W Ritner St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
G.A.M.P. SCHOOL,2136 W RITNER ST,A,N,19145,39.922046,-75.182439,1,range_interpolation,2136,W Ritner St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
G.A.M.P. SCHOOL,2136 W RITNER ST,A,N,19145,39.922046,-75.182439,1,range_interpolation,2136,W Ritner St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
GUERIN RECREATION CENTER,2201 S 16TH ST,M,N,19145,39.922877,-75.172914,1,rooftop,2201,S 16th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
GUERIN RECREATION CENTER,2201 S 16TH ST,M,N,19145,39.922877,-75.172914,1,rooftop,2201,S 16th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
G.A.M.P. SCHOOL,2136 W RITNER ST,A,N,19145,39.922046,-75.182439,1,range_interpolation,2136,W Ritner St,,,Philadelphia,PA,Philadelphia County,19145,US,TIGER/Line® dataset from the US Census Bureau
GUERIN RECREATION CENTER,2201 S 16TH ST,M,N,19145,39.922877,-75.172914,1,rooftop,2201,S 16th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
CITY LIFE CHURCH (CALVARY TEMPLE),3301 S 20TH ST,M,L,19145,39.910012,-75.181738,1,rooftop,3301,S 20th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
CARING PEOPLE ALLIANCE,2433 S 15TH ST,R,L,19145,39.919848,-75.172118,1,rooftop,2433,S 15th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
GUERIN RECREATION CENTER-BOCCE BLDG,2201 S 16TH ST,M,N,19145,39.922877,-75.172914,1,rooftop,2201,S 16th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
CITY LIFE CHURCH (CALVARY TEMPLE),3301 S 20TH ST,M,L,19145,39.910012,-75.181738,1,rooftop,3301,S 20th St,,,Philadelphia,PA,Philadelphia County,19145,US,Philadelphia
PENN ALEXANDER SCHOOL,4209 SPRUCE ST  ,F,L,19104,39.952387,-75.207021,1,range_interpolation,4209,Spruce St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
ROSENBERGER HALL/ROOM 100,600 S 43RD ST,F,N,19104,39.948248,-75.209052,1,range_interpolation,600,S 43rd St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
THE ARCH BUILDING-ROOM 108,3601 LOCUST WALK,M,N,19104,39.952179,-75.195483,1,range_interpolation,3601,Locust Walk,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
COMEGYS SCHOOL,5100 GREENWAY AVE,M,L,19143,39.940307,-75.216374,1,range_interpolation,5100,Greenway Ave,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
CIVIC HOUSE/UNIV OF PENNA,3914 LOCUST WK,F,N,19104,39.952503,-75.200273,0.9,range_interpolation,3914,Locust Walk,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
ROBESON HIGH SCHOOL,4125 LUDLOW ST,M,N,19104,39.956854,-75.204637,1,range_interpolation,4125,Ludlow St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
ROSENBERGER HALL/ROOM 100,600 S 43RD ST,F,N,19104,39.948248,-75.209052,1,range_interpolation,600,S 43rd St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
WALNUT ST WEST LIBRARY,201 S 40TH ST,M,N,19104,39.954261,-75.202589,1,range_interpolation,201,S 40th St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
WALNUT ST WEST LIBRARY,201 S 40TH ST,M,N,19104,39.954261,-75.202589,1,range_interpolation,201,S 40th St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
SPRUCE HILL COMMUNITY ASSOCIATION,257 S 45TH ST,M,L,19104,39.953359,-75.211851,1,rooftop,257,S 45th St,,,Philadelphia,PA,Philadelphia County,19104,US,Philadelphia
HOUSTON HALL BODEK LOUNGE,3417 SPRUCE ST,F,N,19104,39.950621,-75.192733,1,range_interpolation,3417,Spruce St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
COMEGYS SCHOOL,5100 GREENWAY AVE,M,L,19143,39.940307,-75.216374,1,range_interpolation,5100,Greenway Ave,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
ROBESON HIGH SCHOOL,4125 LUDLOW ST,M,N,19104,39.956854,-75.204637,1,range_interpolation,4125,Ludlow St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
PENN ALEXANDER SCHOOL,4209 SPRUCE ST  ,F,L,19104,39.952387,-75.207021,1,range_interpolation,4209,Spruce St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
48TH & WOODLAND RECREATION CENTER,1414 S 47TH ST,M,L,19143,39.943346,-75.210853,1,intersection,,S 47th St,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
48TH & WOODLAND RECREATION CENTER,1414 S 47TH ST,M,L,19143,39.943346,-75.210853,1,intersection,,S 47th St,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
48TH & WOODLAND RECREATION CENTER,1414 S 47TH ST,M,L,19143,39.943346,-75.210853,1,intersection,,S 47th St,,,Philadelphia,PA,Philadelphia County,19143,US,TIGER/Line® dataset from the US Census Bureau
HOUSTON HALL BODEK LOUNGE,3417 SPRUCE ST,F,N,19104,39.950621,-75.192733,1,range_interpolation,3417,Spruce St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
THE ARCH BUILDING-ROOM 108,3601 LOCUST WALK,M,N,19104,39.952179,-75.195483,1,range_interpolation,3601,Locust Walk,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
HOUSTON HALL BODEK LOUNGE,3417 SPRUCE ST,F,N,19104,39.950621,-75.192733,1,range_interpolation,3417,Spruce St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
HOUSTON HALL BODEK LOUNGE,3417 SPRUCE ST,F,N,19104,39.950621,-75.192733,1,range_interpolation,3417,Spruce St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
HOUSTON HALL BODEK LOUNGE,3417 SPRUCE ST,F,N,19104,39.950621,-75.192733,1,range_interpolation,3417,Spruce St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
PENN ALEXANDER SCHOOL,4209 SPRUCE ST  ,F,L,19104,39.952387,-75.207021,1,range_interpolation,4209,Spruce St,,,Philadelphia,PA,Philadelphia County,19104,US,TIGER/Line® dataset from the US Census Bureau
CECIL B MOORE RECREATION CENTER,2551 N 22ND ST,M,L,19132,39.993495,-75.167888,1,range_interpolation,2551,N 22nd St,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
WRIGHT SCHOOL,2700 W DAUPHIN ST,F,L,19132,39.990731,-75.176864,1,range_interpolation,2700,W Dauphin St,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
WRIGHT SCHOOL,2700 W DAUPHIN ST,F,L,19132,39.990731,-75.176864,1,range_interpolation,2700,W Dauphin St,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
STRAWBERRY MANSION SCHOOL,3133 RIDGE AVE,F,L,19121,39.990744,-75.184025,1,rooftop,3133,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
STRAWBERRY MANSION SCHOOL,3133 RIDGE AVE,F,L,19121,39.990744,-75.184025,1,rooftop,3133,Ridge Ave,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
WRIGHT SCHOOL,2700 W DAUPHIN ST,F,L,19132,39.990731,-75.176864,1,range_interpolation,2700,W Dauphin St,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
WRIGHT SCHOOL,2700 W DAUPHIN ST,F,L,19132,39.990731,-75.176864,1,range_interpolation,2700,W Dauphin St,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
NORTH PENN P.A.L. CENTER,2423 N 27TH ST,A,N,19132,39.992737,-75.176273,1,range_interpolation,2423,N 27th St,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
ETHEL ALLEN SCHOOL,3200 W LEHIGH AVE,M,L,19132,39.996842,-75.183644,1,rooftop,3200,W Lehigh Ave,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
ETHEL ALLEN SCHOOL,3200 W LEHIGH AVE,M,L,19132,39.996842,-75.183644,1,rooftop,3200,W Lehigh Ave,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
ETHEL ALLEN SCHOOL,3200 W LEHIGH AVE,M,L,19132,39.996842,-75.183644,1,rooftop,3200,W Lehigh Ave,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
ETHEL ALLEN SCHOOL,3200 W LEHIGH AVE,M,L,19132,39.996842,-75.183644,1,rooftop,3200,W Lehigh Ave,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
WIDENER BRANCH LIBRARY,2808 W LEHIGH AVE,F,L,19132,39.996623,-75.177557,0.99,rooftop,2808-26,W Lehigh Ave,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
WIDENER BRANCH LIBRARY,2808 W LEHIGH AVE,F,L,19132,39.996623,-75.177557,0.99,rooftop,2808-26,W Lehigh Ave,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
WIDENER BRANCH LIBRARY,2808 W LEHIGH AVE,F,L,19132,39.996623,-75.177557,0.99,rooftop,2808-26,W Lehigh Ave,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
WIDENER BRANCH LIBRARY,2808 W LEHIGH AVE,F,L,19132,39.996623,-75.177557,0.99,rooftop,2808-26,W Lehigh Ave,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
MEDIATOR LUTHERAN CHURCH,2832 N 28TH ST,F,N,19132,39.999473,-75.176626,0.99,rooftop,2832-44,N 28th St,,,Philadelphia,PA,Philadelphia County,19132,US,Philadelphia
CECIL B MOORE RECREATION CENTER,2551 N 22ND ST,M,L,19132,39.993495,-75.167888,1,range_interpolation,2551,N 22nd St,,,Philadelphia,PA,Philadelphia County,19132,US,TIGER/Line® dataset from the US Census Bureau
PTTI (BEREAN) INSTITUTE,1901 W GIRARD AVE,M,N,19130,39.972343,-75.16742,1,range_interpolation,1901,W Girard Ave,,,Philadelphia,PA,Philadelphia County,19130,US,TIGER/Line® dataset from the US Census Bureau
SHARSWOOD TOWNHOUSES II COMMUNITY CENTER,1450 N 21ST ST,F,L,19121,39.977067,-75.170121,1,range_interpolation,1450,N 21st St,,,Philadelphia,PA,Philadelphia County,19121,US,TIGER/Line® dataset from the US Census Bureau
CELESTIAL WORD MINISTRIES,2800 W THOMPSON ST,F,N,19121,39.975958,-75.181717,1,rooftop,2800,W Thompson St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
SHARSWOOD TOWER,1515 N 24TH ST,F,H,19121,39.978652,-75.174131,0.99,rooftop,1515-21,N 24th St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
CECIL B MOORE LIBRARY,2320 CECIL B MOORE AVE,M,N,19121,39.980512,-75.173531,0.99,rooftop,2320-34,Cecil B Moore Ave,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
CECIL B MOORE LIBRARY,2320 CECIL B MOORE AVE,M,N,19121,39.980512,-75.173531,0.99,rooftop,2320-34,Cecil B Moore Ave,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
SHARSWOOD TOWER,1515 N 24TH ST,F,H,19121,39.978652,-75.174131,0.99,rooftop,1515-21,N 24th St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
SHARSWOOD TOWNHOUSES I,1425 N 23RD ST,F,N,19121,39.976903,-75.173278,1,range_interpolation,1425,N 23rd St,,,Philadelphia,PA,Philadelphia County,19121,US,TIGER/Line® dataset from the US Census Bureau
BOONE SCHOOL (CAMELOT ACADEMY),1435 N 26TH ST,R,N,19121,39.978053,-75.177139,0.99,rooftop,1435-45,N 26th St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
BREWERYTOWN SHARSWOOD CCA,"3000 MASTER ST, UNIT D",F,N,19121,39.977252,-75.185383,1,rooftop,3000,Master St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
MORRIS SCHOOL,2600 W THOMPSON ST,F,L,19121,39.97541,-75.178956,0.99,rooftop,2600-24,W Thompson St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
COLLEGEVIEW HOMES (PHA),2632 W THOMPSON ST,F,L,19121,39.975551,-75.179735,1,rooftop,2632,W Thompson St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
MORRIS SCHOOL,2600 W THOMPSON ST,F,L,19121,39.97541,-75.178956,0.99,rooftop,2600-24,W Thompson St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
BOONE SCHOOL (CAMELOT ACADEMY),1435 N 26TH ST,R,N,19121,39.978053,-75.177139,0.99,rooftop,1435-45,N 26th St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
W D KELLEY SCHOOL,1601 N 28TH ST,M,L,19121,39.980816,-75.180066,0.99,rooftop,1601-49,N 28th St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
W D KELLEY SCHOOL,1601 N 28TH ST,M,L,19121,39.980816,-75.180066,0.99,rooftop,1601-49,N 28th St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
BREWERYTOWN SHARSWOOD CCA,"3000 MASTER ST, UNIT D",F,N,19121,39.977252,-75.185383,1,rooftop,3000,Master St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
CELESTIAL WORD MINISTRIES,2800 W THOMPSON ST,F,N,19121,39.975958,-75.181717,1,rooftop,2800,W Thompson St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
GIDEON HALL@SCOTTISH RITE HOUSE,1525 FITZWATER ST,F,H,19146,39.942298,-75.168498,1,range_interpolation,1525,Fitzwater St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
SCOTTISH RITE TOWER,1530 FITZWATER ST,F,N,19146,39.942006,-75.168671,1,range_interpolation,1530,Fitzwater St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
KIMMEL CENTER,300 S BROAD ST,F,L,19102,39.946656,-75.165776,0.99,rooftop,300-18,S Broad St,,,Philadelphia,PA,Philadelphia County,19102,US,Philadelphia
UNIVERSAL CHARTER SCHOOL,1427 CATHARINE ST,F,N,19146,39.941067,-75.16698,1,range_interpolation,1427,Catharine St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Y M C A [CHRISTIAN ST BRANCH],1724 CHRISTIAN ST,A,N,19146,39.940526,-75.171444,1,range_interpolation,1724,Christian St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
ANDERSON RECREATION CENTER,740 S 17TH ST,F,N,19146,39.94202,-75.171645,1,rooftop,740,S 17th St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
ANDERSON RECREATION CENTER,740 S 17TH ST,F,N,19146,39.94202,-75.171645,1,rooftop,740,S 17th St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
BALKAN RESTAURANT,2237 GRAYS FERRY AVE,M,N,19146,39.944841,-75.17994,1,rooftop,2237,Grays Ferry Ave,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
ARTHUR SCHOOL,2000 CATHARINE ST,M,L,19146,39.942139,-75.175677,1,range_interpolation,2000,Catharine St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Y M C A [CHRISTIAN ST BRANCH],1724 CHRISTIAN ST,A,N,19146,39.940526,-75.171444,1,range_interpolation,1724,Christian St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
ARTHUR SCHOOL,2000 CATHARINE ST,M,L,19146,39.942139,-75.175677,1,range_interpolation,2000,Catharine St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
BIRCHWOOD AT GRAYS FERRY SENIOR APTS,2309 CARPENTER ST,M,L,19146,39.941331,-75.182076,0.99,rooftop,2309-33,Carpenter St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Y M C A [CHRISTIAN ST BRANCH],1724 CHRISTIAN ST,A,N,19146,39.940526,-75.171444,1,range_interpolation,1724,Christian St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
ARTHUR SCHOOL,2000 CATHARINE ST,M,L,19146,39.942139,-75.175677,1,range_interpolation,2000,Catharine St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
ARTHUR SCHOOL,2000 CATHARINE ST,M,L,19146,39.942139,-75.175677,1,range_interpolation,2000,Catharine St,,,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
BALKAN RESTAURANT,2237 GRAYS FERRY AVE,M,N,19146,39.944841,-75.17994,1,rooftop,2237,Grays Ferry Ave,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
BIRCHWOOD AT GRAYS FERRY SENIOR APTS,2309 CARPENTER ST,M,L,19146,39.941331,-75.182076,0.99,rooftop,2309-33,Carpenter St,,,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
KENSINGTON HIGH SCHOOL ANNEX,2463 EMERALD ST,M,H,19125,39.985148,-75.128364,1,range_interpolation,2463,Emerald St,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
COMMUNITY CENTER AT VISITATION,2646 KENSINGTON AVE,F,N,19125,39.989712,-75.126016,1,range_interpolation,2646,Kensington Ave,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
HACKETT SCHOOL,2143-75 E YORK ST,M,N,19125,39.981159,-75.126502,1,rooftop,2143-75,E York St,,,Philadelphia,PA,Philadelphia County,19125,US,Philadelphia
SUMMERFIELD CHURCH,2223 E DAUPHIN ST,M,L,19125,39.979751,-75.127702,1,range_interpolation,2223,E Dauphin St,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
SUMMERFIELD CHURCH,2223 E DAUPHIN ST,M,L,19125,39.979751,-75.127702,1,range_interpolation,2223,E Dauphin St,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
CIONE RECREATION CENTER,2600 ARAMINGO AVE,M,N,19125,39.980493,-75.118494,1,rooftop,2600,Aramingo Ave,,,Philadelphia,PA,Philadelphia County,19125,US,Philadelphia
MARITIME ACADEMY CHARTER SCHOOL,2700 E HUNTINGDON ST,M,N,19125,39.976251,-75.117201,1,rooftop,2700,E Huntingdon St,,,Philadelphia,PA,Philadelphia County,19125,US,Philadelphia
KENSINGTON HIGH SCHOOL ANNEX,2463 EMERALD ST,M,H,19125,39.985148,-75.128364,1,range_interpolation,2463,Emerald St,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
KENSINGTON HIGH SCHOOL ANNEX,2463 EMERALD ST,M,H,19125,39.985148,-75.128364,1,range_interpolation,2463,Emerald St,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
ST MICHAELS LUTHERAN CHURCH,2139 E CUMBERLAND ST,M,N,19125,39.98237,-75.124589,0.99,rooftop,2139-45,E Cumberland St,,,Philadelphia,PA,Philadelphia County,19125,US,Philadelphia
H A BROWN SCHOOL,"1946 E SERGEANT ST,",M,N,19125,39.986592,-75.127407,1,range_interpolation,1946,E Sergeant St,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
H A BROWN SCHOOL,"1946 E SERGEANT ST,",M,N,19125,39.986592,-75.127407,1,range_interpolation,1946,E Sergeant St,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
HACKETT SCHOOL,2143-75 E YORK ST,M,N,19125,39.981159,-75.126502,1,rooftop,2143-75,E York St,,,Philadelphia,PA,Philadelphia County,19125,US,Philadelphia
BEACON PRESBYTERIAN CHURCH,2364 E CUMBERLAND ST,R,N,19125,39.979807,-75.123087,1,range_interpolation,2364,E Cumberland St,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
BEACON PRESBYTERIAN CHURCH,2364 E CUMBERLAND ST,R,N,19125,39.979807,-75.123087,1,range_interpolation,2364,E Cumberland St,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
BEACON PRESBYTERIAN CHURCH,2364 E CUMBERLAND ST,R,N,19125,39.979807,-75.123087,1,range_interpolation,2364,E Cumberland St,,,Philadelphia,PA,Philadelphia County,19125,US,TIGER/Line® dataset from the US Census Bureau
MARITIME ACADEMY CHARTER SCHOOL,2700 E HUNTINGDON ST,M,N,19125,39.976251,-75.117201,1,rooftop,2700,E Huntingdon St,,,Philadelphia,PA,Philadelphia County,19125,US,Philadelphia
CIONE RECREATION CENTER,2600 ARAMINGO AVE,M,N,19125,39.980493,-75.118494,1,rooftop,2600,Aramingo Ave,,,Philadelphia,PA,Philadelphia County,19125,US,Philadelphia
CIONE RECREATION CENTER,2600 ARAMINGO AVE,M,N,19125,39.980493,-75.118494,1,rooftop,2600,Aramingo Ave,,,Philadelphia,PA,Philadelphia County,19125,US,Philadelphia
W D KELLEY SCHOOL,1601 N 28TH ST,M,L,19121,39.980816,-75.180066,0.99,rooftop,1601-49,N 28th St,,,Philadelphia,PA,Philadelphia County,19121,US,Philadelphia
